the square of 0is0
the square of 1is1
the square of 2is4
the square of 3is9
the square of 4is16
the square of 5is25
the square of 6is36
the square of 7is49
the square of 8is64
the square of 9is81
the square of 10is100
the square of 11is121
the square of 12is144
the square of 13is169
the square of 14is196
the square of 15is225
the square of 16is256
the square of 17is289
the square of 18is324
the square of 19is361
the square of 20is400
the square of 21is441
the square of 22is484
the square of 23is529
the square of 24is576
the square of 25is625
the square of 26is676
the square of 27is729
the square of 28is784
the square of 29is841
the square of 30is900
the square of 31is961
the square of 32is1024
the square of 33is1089
the square of 34is1156
the square of 35is1225
the square of 36is1296
the square of 37is1369
the square of 38is1444
the square of 39is1521
the square of 40is1600
the square of 41is1681
the square of 42is1764
the square of 43is1849
the square of 44is1936
the square of 45is2025
the square of 46is2116
the square of 47is2209
the square of 48is2304
the square of 49is2401
the square of 50is2500
the square of 51is2601
the square of 52is2704
the square of 53is2809
the square of 54is2916
the square of 55is3025
the square of 56is3136
the square of 57is3249
the square of 58is3364
the square of 59is3481
the square of 60is3600
the square of 61is3721
the square of 62is3844
the square of 63is3969
the square of 64is4096
the square of 65is4225
the square of 66is4356
the square of 67is4489
the square of 68is4624
the square of 69is4761
the square of 70is4900
the square of 71is5041
the square of 72is5184
the square of 73is5329
the square of 74is5476
the square of 75is5625
the square of 76is5776
the square of 77is5929
the square of 78is6084
the square of 79is6241
the square of 80is6400
the square of 81is6561
the square of 82is6724
the square of 83is6889
the square of 84is7056
the square of 85is7225
the square of 86is7396
the square of 87is7569
the square of 88is7744
the square of 89is7921
the square of 90is8100
the square of 91is8281
the square of 92is8464
the square of 93is8649
the square of 94is8836
the square of 95is9025
the square of 96is9216
the square of 97is9409
the square of 98is9604
the square of 99is9801
the square of 100is10000
